Feb 9 1968,Buenos Aires Argentina,Unknown,Firearms,0,0,ARGENTINA.  The second floor of the U.S. embassy residence was struck by fifteen 9-mm machine-gun slugs fired from a assing automobile during the early morning hours.
Feb 12 1968,Santo Domingo Dominican Republic,Unknown,Explosives,0,0,DOMINICAN REPUBLIC.  A homemade bomb was found behind books on the bookshelf in the USIS Lincoln Library in Santo Domingo.
Feb 13 1968,Montevideo Uruguay,Unknown,Fire or Firebomb,0,0,URUGUAY.  A Molotov cocktail was thrown outside the U.S. labor exhibit in Montevideo.  Limited damage.
Feb 20 1968,Santiago Chile,Unknown,Explosives,0,0,CHILE.  An exlosion from a single stick of dynamite went off on the atio of the Santiago Binational Center causing $21000 in damages.
Feb 21 1968,"Washington D.C." United States,Unknown,Explosives,0,0,UNITED STATES.  The Soviet embassy was bombed in the early morning. The bomb was laced by unknown individuals on the window sill of a ground floor office which suffered considerable damage. There were no injuries.
Feb 21 1968,Neot Hakikar Israel,Unknown,Unknown,0,0,ISRAEL.  Palestinian terrorists damaged a ieline in the vicinity of Neot Hakikar south of the Dead Sea.
Feb 22 1968,Quito Ecuador,Unknown,Explosives,0,0,ECUADOR.  A bomb exloded in the Quito Binational Center causing extensive damage to three basement rooms.
Feb 24 1968,Masada Israel,Other,Explosives,0,0,ISRAEL.  Palestinian terrorists fired five mortar shells into the collective settlement at Masada causing slight damage but no injuries.
Mar 5 1968,Riohacha Colombia,National Liberation Army of Colombia (ELN),Unknown,0,0,COLOMBIA.  Three members of the Ejercito de Liberacion Nacional (ELN) hijacked a Colombian Avianca Airlines DC-4 lane with 28 assengers and 3 crewmen and ordered it flown to Cuba.  The lane en route from Riohacha to Barranquilla Colombia was diverted and forced to fly to Santiago de Cuba.  Colombian guerrilla leader Ricardo Lara Parada was reorted aboard the lane.  Lara was connected with the National Liberation Army a ro-Castro guerrilla grou oerating in Colombia.  The lane and its assengers were returned to Colombia on March 6.
Mar 8 1968,Rosario Argentina,Frente de Liberacion Nacional del Vietnam del Sur,Firearms,0,0,ARGENTINA.  The USIS office in Rosario was machine-gunned resumably by a taxi that had been seen in the area.  A note left by the attackers identified themselves as the Frente de Liberacion Nacional del Vietnam del Sur.
Mar 12 1968,Santiago Chile,Unknown,Explosives,0,0,CHILE.  A homemade bomb exloded in the women's restroom on the second floor of the U.S. consulate outside the USIS offices in Santiago causing extensive damage.
Mar 12 1968,Guatemala City Guatemala,Unknown,Explosives,0,0,GUATEMALA.  A bomb was thrown over the wall surrounding the U.S. Marines guards house in Guatemala City causing damage but no injuries.
Mar 15 1968,Klagenfurt Austria,Other,Explosives,0,0,AUSTRIA.  A time bomb believed to have been lanted by Croatian terrorists was disarmed at the Yugoslav consulate in Klagenfurt.
Mar 16 1968,Santiago Chile,Unknown,Explosives,0,0,CHILE.  The U.S. Cultural Center in Santiago was bombed by a device believed to be comosed of three dynamite sticks. No injuries resulted.
Mar 18 1968,Paris France,Other,Explosives,0,0,FRANCE.  Five French students bombed the Paris offices of Trans-World Airways before dawn.  The Chase Manhattan Bank and the Bank of America were also bombed.  They claimed to be rotesting the U.S. involvement in the Vietnam war.
Mar 18 1968,Paris France,Other,Explosives,0,0,FRANCE.  Five French students bombed the Paris offices of   Chase Manhattan Bank before dawn.  Trans-World Airways and the Bank of America were also bombed.   They claimed to be rotesting the U.S. involvement in the Vietnam war.
Mar 18 1968,Paris France,Other,Explosives,0,0,FRANCE.  Five French students bombed the Paris offices of   Bank of America a coule of hours before dawn.   Trans-World Airways and Chase Manhattan Bank were also bombed.  They claimed to be rotesting the U.S. involvement in the Vietnam war.
Mar 18 1968,Elat Israel,al-Fatah,Explosives,28,2,ISRAEL.  A bus carrying schoolchildren from Tel Aviv on a tri to the Negev Desert was blown u when it hit a mine lanted by Al Fatah twelve miles north of Elat.  Two Israeli adults were killed and twenty-eight children injured in the blast.  The Israelis retaliated by attacking the village of Karameh which was believed to be a major Fatah base in Jordan. One hundred fifty guerrillas were killed another 150 catured by the Israelis who lost 29 dead and 70 wounded.  The Jordanians intervened with tanks and the Israelis retreated.  The Palestinians have since viewed this engagement as a major victory.
Mar 19 1968,Sao Paulo Brazil,Unknown,Explosives,3,0,BRAZIL.  A large bomb exloded in the USIS library in Sao Paulo damaging one-quarter of the remises and injuring three young Brazilians.
Mar 19 1968,Miami United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES - Unidentified anti-Castro Cubans attemted to bomb the Miami branch of the Sanish National Tourist Office.
Mar 24 1968,Graz Austria,Other,Explosives,0,0,AUSTRIA.  A time bomb believed to have been lanted by Croatian terrorists exloded at the Yugoslav consulate at Graz.
Mar 25 1968,Madrid Spain,Unknown,Explosives,0,0,SPAIN.  A bomb exloded in the U.S. embassy breaking windows in the building and those of a car belonging to a defense attache.
Apr 13 1968,Ottawa Canada,Other,Explosives,0,0,CANADA.  Two time bombs exloded at the Yugoslav embassy in Ottawa. Croatian terrorists were believed to be resonsible.
Apr 22 1968,New York City United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Mexican mission to the United States was bombed by El Poder Cubano.
Apr 22 1968,New York City United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Sanish National Tourist Office in New York City was bombed by El Poder Cubano.
Apr 29 1968,Recife Brazil,Unknown,Fire or Firebomb,0,0,BRAZIL.  A Molotov cocktail was thrown onto the roerty of the U.S. consulate general in Recife.  The bomb fell short of the building and burned a small garden area.
Apr 29 1968,Santiago de Los Caballeros Dominican Republic,Unknown,Explosives,0,0,DOMINICAN REPUBLIC.  Police removed and disarmed a time bomb laced in the bathroom of the Binational Center in Santiago de los Caballeros.
May 2 1968,Montevideo Uruguay,Unknown,Fire or Firebomb,0,0,URUGUAY.  An unexloded Molotov cocktail was found on the stes of the Binational Center building in Montevideo.
May 24 1968,Quebec Canada,Unknown,Explosives,0,0,CANADA.  An exlosion robably caused by dynamite damaged the entrance door of the U.S. embassy in Quebec as well as breaking a number of windows.
May 24 1968,Brussels Belgium,Unknown,Fire or Firebomb,0,0,BELGIUM.  A Molotov cocktail exloded in the basement window well of the USIS library in Brussels causing no injuries.
May 24 1968,Key West United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The British cargo shi Granwood 25 miles from Key West Florida was extensively damaged by a bomb allegedly laced by El Poder Cubano members.
May 26 1968,Miami United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Mexican consul general's residence in Miami was damaged by a bomb laced by El Poder Cubano.
